2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:11.2954–TRACE–2023/11/15 17:28:11:2954| 0| COM88| S | CommandID     82| FA52010002
2023-11-15 17:28:11.3129–TRACE–2023/11/15 17:28:11:3129| 0| COM88| R | CommandID     82| FA010403040D0A
2023-11-15 17:28:11.3129–TRACE–2023/11/15 17:28:11:3173| 0| COM88| S | CommandID     83| FA52020002
2023-11-15 17:28:11.3430–TRACE–2023/11/15 17:28:11:3429| 0| COM88| R | CommandID     83| FA020403040D0A
2023-11-15 17:28:11.3430–TRACE–2023/11/15 17:28:11:3502| 0| COM88| S | CommandID     84| FA52030002
2023-11-15 17:28:11.3835–TRACE–2023/11/15 17:28:11:3835| 0| COM88| R | CommandID     84| FA030403040D0A
2023-11-15 17:28:11.3899–TRACE–2023/11/15 17:28:11:3899| 0| COM88| S | CommandID     85| FA52010001
2023-11-15 17:28:11.4303–TRACE–2023/11/15 17:28:11:4302| 0| COM88| R | CommandID     85| FA010401020D0A
2023-11-15 17:28:11.4303–TRACE–2023/11/15 17:28:11:4340| 0| COM88| S | CommandID     86| FA52020001
2023-11-15 17:28:11.4591–TRACE–2023/11/15 17:28:11:4591| 0| COM88| R | CommandID     86| FA020401020D0A
2023-11-15 17:28:11.4591–TRACE–2023/11/15 17:28:11:4647| 0| COM88| S | CommandID     87| FA52030001
2023-11-15 17:28:11.4969–TRACE–2023/11/15 17:28:11:4968| 0| COM88| R | CommandID     87| FA030401020D0A
2023-11-15 17:28:11.5042–TRACE–2023/11/15 17:28:11:5042| 0| COM88| S | CommandID     88| FA52010401
2023-11-15 17:28:11.5325–TRACE–2023/11/15 17:28:11:5324| 0| COM88| R | CommandID     88| FA010A0101020304050607080D0A
2023-11-15 17:28:11.5482–TRACE–2023/11/15 17:28:11:5482| 0| COM88| S | CommandID     89| FA52020401
2023-11-15 17:28:11.5804–TRACE–2023/11/15 17:28:11:5804| 0| COM88| R | CommandID     89| FA020A0101020304050607080D0A
2023-11-15 17:28:11.5804–TRACE–2023/11/15 17:28:11:5863| 0| COM88| S | CommandID     90| FA52030401
2023-11-15 17:28:11.6128–TRACE–2023/11/15 17:28:11:6128| 0| COM88| R | CommandID     90| FA030A0101020304050607080D0A
2023-11-15 17:28:11.6128–TRACE–2023/11/15 17:28:11:6176| 0| COM88| S | CommandID     91| FA52010101
2023-11-15 17:28:11.6436–TRACE–2023/11/15 17:28:11:6435| 0| COM88| R | CommandID     91| FA0103640D0A
2023-11-15 17:28:11.6436–TRACE–2023/11/15 17:28:11:6501| 0| COM88| S | CommandID     92| FA52020101
2023-11-15 17:28:11.6757–TRACE–2023/11/15 17:28:11:6757| 0| COM88| R | CommandID     92| FA0203640D0A
2023-11-15 17:28:11.6757–TRACE–2023/11/15 17:28:11:6816| 0| COM88| S | CommandID     93| FA52030101
2023-11-15 17:28:11.7099–TRACE–2023/11/15 17:28:11:7099| 0| COM88| R | CommandID     93| FA0303640D0A
2023-11-15 17:28:11.7099–TRACE–2023/11/15 17:28:11:7167| 0| COM88| S | CommandID     94| FA52010402
2023-11-15 17:28:11.7433–TRACE–2023/11/15 17:28:11:7432| 0| COM88| R | CommandID     94| FA010400890D0A
